model,split_method,precision@k,recall@k,f1@k,ndcg@k
Popularity Baseline,random_seeded,0.05902578796561605,0.10177416068924273,0.07471768591314484,0.0994162253745917
"ALS Final (k=10, ?=10, ?=0.1)",random_seeded,0.1967960406355822,0.36773738764491565,0.25638609958889375,0.31418625518254495
Popularity Baseline,temporal,0.049451725060176525,0.08779382967334291,0.06326698646693268,0.08112711523262978
"ALS Final (k=10, ?=10, ?=0.1)",temporal,0.1274137469911741,0.2882396491951186,0.17671306945805126,0.22837565113667446
