model,precision@k,recall@k,f1@k,ndcg@k
Popularity Baseline,0.05902578796561605,0.10177416068924273,0.07471768591314484,0.0994162253745917
SVD (k=5),0.195337327429018,0.36208669698510804,0.2537710776316489,0.3185163328799419
SVD (k=10),0.20403750976816878,0.3736312770468801,0.26393946524430834,0.32849995338504145
SVD (k=15),0.1916123990622558,0.3532194737912372,0.24844813286775622,0.3050105632638586
SVD (k=20),0.18301641052357384,0.3369168605265245,0.23718933906229933,0.29167819938107337
SVD (k=30),0.16394894503777027,0.30282430226426055,0.2127273796216486,0.26184881419068895
SVD (k=50),0.12930450638187027,0.2435240094917094,0.16891815136874733,0.2131131858156022
