model,test_loss,accuracy,precision,recall,f1,auc,precision@5,recall@5,f1@5,ndcg@5
FM (User + Item),0.6126044193895983,0.6379131835263441,0.4574523098138359,0.4574523098138359,0.4574523098138359,0.6383044345205406,0.024942090712097433,0.0960098632593589,0.03959732174704885,0.06249615707854216
FM (User + Item + Meal Period),0.4282260061958376,0.7668532862949613,0.6506550218340611,0.6506550218340611,0.6506550218340611,0.8557785902336701,0.0457595456922962,0.17689855289048295,0.07271055906267583,0.11430865373028395
FM (User + Item + Meal + Day + Weekend),0.428390008865691,0.7666040340516911,0.6502815444725351,0.6502815444725351,0.6502815444725351,0.8552291922179096,0.0461929313307928,0.17819248300082194,0.07336691785817821,0.1151329484326927
FM (User + Item + Meal + Day + Weekend + Hour + Restaurant + Category),0.18976168077221342,0.916711404248792,0.8752011031946679,0.8752011031946679,0.8752011031946679,0.9702114933941225,0.10672494956287827,0.411845874118907,0.1695206445705933,0.2662726174084077
