model,precision@k,recall@k,f1@k,ndcg@k
Popularity Baseline,0.059025787965616,0.1017741606892427,0.0747176859131448,0.0994162253745917
SVD (k=10),0.2040375097681687,0.3736312770468801,0.2639394652443083,0.3284999533850414
"ALS Final (k=10, α=10, λ=0.1)",0.1967960406355822,0.3677373876449156,0.2563860995888937,0.3141862551825449
FM (User+Item only),0.024942090712097433,0.0960098632593589,0.03959732174704885,0.06249615707854216
FM (Full Context),0.10672494956287827,0.411845874118907,0.1695206445705933,0.2662726174084077
