model,precision@k,recall@k,f1@k,ndcg@k
Popularity Baseline,0.05902578796561605,0.10177416068924273,0.07471768591314484,0.0994162253745917
ALS (k=5),0.16816879395675957,0.33060621471666013,0.22293678486972313,0.27992750383533355
ALS (k=10),0.18153164886689244,0.3472956126967588,0.23843379416812452,0.288701928887687
ALS (k=15),0.15522271424850223,0.30885225849083625,0.20660836580668204,0.24688187013839932
ALS (k=20),0.1407658244334462,0.285817074665082,0.18863051583834542,0.2303958954320996
ALS (k=30),0.11885907788486587,0.2369371016381957,0.15830482190775355,0.19451629922969454
"ALS Final (k=10, α=10, λ=0.1)",0.1967960406355822,0.36773738764491565,0.25638609958889375,0.31418625518254495
