iter	Passed	Remaining
410	3677	1243
411	3684	1234
412	3692	1224
413	3699	1215
414	3706	1205
415	3713	1196
416	3720	1186
417	3727	1177
418	3734	1167
419	3741	1157
420	3747	1148
421	3755	1139
422	3762	1129
423	3769	1120
424	3776	1110
425	3784	1101
426	3791	1092
427	3798	1082
428	3806	1073
429	3813	1064
430	3820	1054
431	3827	1045
432	3834	1036
433	3841	1026
434	3848	1017
435	3855	1008
436	3861	998
437	3868	989
438	3876	980
439	3883	970
440	3890	961
441	3897	952
442	3904	943
443	3910	933
444	3918	924
445	3924	915
446	3931	905
447	3938	896
448	3945	887
449	3952	878
450	3959	869
451	3966	859
452	3973	850
453	3979	841
454	3987	832
455	3994	823
456	4001	814
457	4009	805
458	4015	796
459	4023	787
460	4030	778
461	4037	769
462	4044	760
463	4052	751
464	4059	741
465	4066	733
466	4073	724
467	4083	715
468	4090	706
469	4098	697
470	4106	688
471	4117	680
472	4125	671
473	4133	662
474	4140	653
475	4148	645
476	4157	636
477	4166	627
478	4174	618
479	4182	609
480	4190	601
481	4198	592
482	4206	583
483	4214	574
484	4222	565
485	4230	557
486	4238	548
487	4245	539
488	4253	530
489	4261	521
490	4270	513
491	4279	504
492	4287	495
493	4296	487
494	4304	478
495	4313	469
496	4321	460
497	4328	451
498	4336	443
499	4343	434
500	4352	425
501	4368	417
502	4383	409
503	4399	401
504	4407	392
505	4420	384
506	4428	375
507	4436	366
508	4444	358
509	4452	349
510	4459	340
511	4466	331
512	4474	322
513	4482	313
514	4489	305
515	4496	296
516	4504	287
517	4511	278
518	4518	269
519	4526	261
520	4533	252
521	4540	243
522	4547	234
523	4554	226
524	4562	217
525	4569	208
526	4577	199
527	4584	191
528	4591	182
529	4599	173
530	4606	164
531	4614	156
532	4621	147
533	4629	138
534	4637	130
535	4646	121
536	4655	112
537	4663	104
538	4670	95
539	4677	86
540	4684	77
541	4693	69
542	4700	60
543	4708	51
544	4716	43
545	4723	34
546	4730	25
547	4738	17
548	4746	8
549	4754	0
