model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Gaussian Density Model,test,precision_floor_70,8.518726921246875e-05,0.7255813953488373,0.8863636363636364,0.7979539641943734,0.9080138447342663,0.9979456817692112,9223,59,20,156,59,20,215,0.022732078663565237,1.0,0.2840909090909091,50,0.94,0.5340909090909091,94,0.77,0.875,154
PCA Reconstruction,val,balanced_f1,0.020044291439023317,0.5865921787709497,0.5898876404494382,0.5882352941176471,0.5296267744500311,0.8688484689966833,9205,74,73,105,74,73,179,0.018927778365232104,0.8,0.2247191011235955,40,0.68,0.38202247191011235,68,0.545,0.6123595505617978,109
PCA Reconstruction,test,balanced_f1,0.020044291439023317,0.6167664670658682,0.5852272727272727,0.6005830903790087,0.5645756463279509,0.8858139409609999,9218,64,73,103,64,73,167,0.017657009938676253,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,val,precision_floor_60,0.02225909583573446,0.60625,0.5449438202247191,0.5739644970414202,0.5296267744500311,0.8688484689966833,9216,63,81,97,63,81,160,0.016918684572274505,0.8,0.2247191011235955,40,0.68,0.38202247191011235,68,0.545,0.6123595505617978,109
PCA Reconstruction,test,precision_floor_60,0.02225909583573446,0.631578947368421,0.5454545454545454,0.5853658536585366,0.5645756463279509,0.8858139409609999,9226,56,80,96,56,80,152,0.016071050962148444,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,val,precision_floor_65,0.029742709994487526,0.6634615384615384,0.38764044943820225,0.48936170212765956,0.5296267744500311,0.8688484689966833,9244,35,109,69,35,109,104,0.010997144971978429,0.8,0.2247191011235955,40,0.68,0.38202247191011235,68,0.545,0.6123595505617978,109
PCA Reconstruction,test,precision_floor_65,0.029742709994487526,0.6730769230769231,0.3977272727272727,0.5,0.5645756463279509,0.8858139409609999,9248,34,106,70,34,106,104,0.010995982237259463,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
PCA Reconstruction,val,precision_floor_70,0.06799182521604144,0.851063829787234,0.2247191011235955,0.35555555555555557,0.5296267744500311,0.8688484689966833,9272,7,138,40,7,138,47,0.004969863593105636,0.8,0.2247191011235955,40,0.68,0.38202247191011235,68,0.545,0.6123595505617978,109
PCA Reconstruction,test,precision_floor_70,0.06799182521604144,0.8333333333333334,0.2556818181818182,0.391304347826087,0.5645756463279509,0.8858139409609999,9273,9,131,45,9,131,54,0.0057094523155001055,0.86,0.24431818181818182,43,0.67,0.3806818181818182,67,0.56,0.6363636363636364,112
Robust Z-Score Model,val,balanced_f1,0.31197744050319737,0.3628691983122363,0.48314606741573035,0.41445783132530123,0.33591008097038844,0.7348673639037527,9128,151,92,86,151,92,237,0.02506080152268161,0.74,0.20786516853932585,37,0.49,0.2752808988764045,49,0.405,0.4550561797752809,81
Robust Z-Score Model,test,balanced_f1,0.31197744050319737,0.3697478991596639,0.5,0.4251207729468599,0.37201663824120834,0.7193088773971126,9132,150,88,88,150,88,238,0.02516388242757454,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,val,precision_floor_60,0.3970005523534942,0.74,0.20786516853932585,0.32456140350877194,0.33591008097038844,0.7348673639037527,9266,13,141,37,13,141,50,0.005287088928835783,0.74,0.20786516853932585,37,0.49,0.2752808988764045,49,0.405,0.4550561797752809,81
Robust Z-Score Model,test,precision_floor_60,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,val,precision_floor_65,0.3970005523534942,0.74,0.20786516853932585,0.32456140350877194,0.33591008097038844,0.7348673639037527,9266,13,141,37,13,141,50,0.005287088928835783,0.74,0.20786516853932585,37,0.49,0.2752808988764045,49,0.405,0.4550561797752809,81
Robust Z-Score Model,test,precision_floor_65,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Robust Z-Score Model,val,precision_floor_70,0.3970005523534942,0.74,0.20786516853932585,0.32456140350877194,0.33591008097038844,0.7348673639037527,9266,13,141,37,13,141,50,0.005287088928835783,0.74,0.20786516853932585,37,0.49,0.2752808988764045,49,0.405,0.4550561797752809,81
Robust Z-Score Model,test,precision_floor_70,0.3970005523534942,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.37201663824120834,0.7193088773971126,9270,12,131,45,12,131,57,0.006026644110805667,0.82,0.23295454545454544,41,0.55,0.3125,55,0.39,0.4431818181818182,78
Autoencoder Reconstruction,val,balanced_f1,0.01636704893921364,0.7125,0.6404494382022472,0.6745562130177515,0.6687549061343354,0.9216752580128381,9233,46,64,114,46,64,160,0.016918684572274505,0.98,0.2752808988764045,49,0.85,0.47752808988764045,85,0.595,0.6685393258426966,119
