model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Random Forest,test,balanced_f1,0.2545094002249068,0.9649122807017544,0.9375,0.9510086455331412,0.9769731898177996,0.9993719515778339,9276,6,11,165,6,11,171,0.018079932332417,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
Extra Trees,test,balanced_f1,0.3829671138404585,0.9647058823529412,0.9318181818181818,0.9479768786127167,0.97949967337455,0.999504784431255,9276,6,12,164,6,12,170,0.017974201733981815,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
HistGradientBoosting,test,balanced_f1,0.9154568847212636,0.9759036144578314,0.9204545454545454,0.9473684210526315,0.9751524330497,0.9992678889737713,9278,4,14,162,4,14,166,0.017551279340241067,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.825,0.9375,165
XGBoost,test,balanced_f1,0.9601278305053711,0.99375,0.9034090909090909,0.9464285714285714,0.9785803593646599,0.9993823578382403,9281,1,17,159,1,17,160,0.016916895749629943,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
CatBoost,test,balanced_f1,0.7322906419407365,0.9534883720930233,0.9318181818181818,0.9425287356321839,0.9782884326724186,0.9993713394448688,9274,8,12,164,8,12,172,0.01818566293085219,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.84,0.9545454545454546,168
LightGBM,test,balanced_f1,0.12770750364192582,0.9640718562874252,0.9147727272727273,0.9387755102040817,0.9790916854487497,0.9994509167303285,9276,6,15,161,6,15,167,0.017657009938676253,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.835,0.9488636363636364,167
Logistic Regression,test,balanced_f1,0.9790501727685567,0.9578313253012049,0.9034090909090909,0.9298245614035088,0.9732345867015214,0.9992752345693523,9275,7,17,159,7,17,166,0.017551279340241067,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.83,0.9431818181818182,166
