iter	F1	Logloss
253	0.8919865878	0.2638546539
254	0.8920503956	0.2631597957
255	0.8921248496	0.2624849573
256	0.8921780386	0.2618080788
257	0.8931270406	0.2612085127
258	0.8931057516	0.2607279583
259	0.8931483306	0.2604175828
260	0.8932228537	0.2595033814
261	0.8932122068	0.2589145439
262	0.8932228537	0.2583022844
263	0.8926783254	0.2572771405
264	0.892774189	0.2563997589
265	0.8927848418	0.2561623515
266	0.8935636888	0.2555955672
267	0.8936063115	0.2552252774
268	0.8943947982	0.2548041013
269	0.8952249101	0.2539536485
270	0.8959793733	0.2534966746
271	0.8961713639	0.2528297062
272	0.8954382042	0.2508238995
273	0.8955342197	0.250473128
274	0.8956409277	0.2497254621
275	0.8973197956	0.2490536109
276	0.8965983045	0.2485487932
277	0.8973731964	0.247417509
278	0.8989412904	0.2468478595
279	0.9006229449	0.2460747743
280	0.899937629	0.2455056523
281	0.9007512814	0.2452459234
282	0.9000124869	0.2438174227
283	0.9001836373	0.2430395786
284	0.9002264351	0.2426766199
285	0.9009973618	0.2418756387
286	0.901125805	0.2410708657
287	0.9020456695	0.2403999966
288	0.9035289999	0.2395211369
289	0.9044030976	0.238890738
290	0.905201202	0.238490277
291	0.9051797604	0.2379725961
292	0.905383497	0.2368931938
293	0.9054049483	0.2363113717
294	0.9076646968	0.2356787036
295	0.9076754281	0.2350979567
296	0.9078256929	0.2346534581
297	0.908630648	0.2339823735
298	0.9093916644	0.2336375514
299	0.9094346262	0.2332161076
300	0.909477592	0.2329335079
301	0.910280607	0.2323727328
302	0.910291352	0.2318316238
303	0.9103880689	0.2312871454
304	0.91119014	0.2303318426
305	0.9118944693	0.2296936268
306	0.9118837184	0.2288872444
307	0.9135474946	0.2280552781
308	0.9143349165	0.2274895877
309	0.9150998419	0.2267458419
310	0.9159499177	0.2261910743
311	0.916003756	0.2256680381
312	0.9161114516	0.2249822961
313	0.9160899105	0.2246982252
314	0.9161329938	0.2243069202
315	0.9168744712	0.2237720598
316	0.9176688425	0.2233151108
317	0.9170576473	0.2228534654
318	0.9192870582	0.2220877529
319	0.9193194056	0.2215341425
320	0.919491964	0.2211479122
321	0.9195782674	0.2207568761
322	0.9196537962	0.2202887072
323	0.9196753782	0.2194367681
324	0.919794097	0.2187931726
325	0.919837275	0.218145803
326	0.9198804571	0.2173801314
327	0.9206613225	0.2170388295
328	0.9214844353	0.2163568553
329	0.9214628317	0.2155726495
330	0.9222850044	0.2150320466
331	0.923084629	0.2143469249
332	0.9231927225	0.2136217302
333	0.9232900282	0.2129537729
334	0.9240887666	0.2123383119
335	0.924132032	0.2117921634
336	0.9241103988	0.2111632071
337	0.9248649264	0.2105798312
338	0.9249731222	0.2099715612
339	0.9257375327	0.2095016212
340	0.9258457757	0.2088340726
341	0.9259865294	0.2082916451
342	0.9260623376	0.2076748264
343	0.9267500363	0.2073930063
344	0.926815027	0.2069460844
345	0.926890861	0.2062684589
346	0.9283608866	0.2056570009
347	0.9291323994	0.2051710728
348	0.9298379219	0.204688694
349	0.9313870601	0.2041556956
350	0.9322307434	0.2027056266
351	0.9329867146	0.2021728517
352	0.9351621529	0.2015553475
353	0.9352272918	0.200826333
354	0.936012096	0.2004340793
355	0.9353141578	0.1997036498
356	0.9361750243	0.1991180089
357	0.9355096653	0.1986070057
358	0.9376984906	0.1982510692
359	0.937752835	0.1977570728
360	0.9385784276	0.1972208836
361	0.9406908456	0.1967349653
362	0.9407017217	0.1964125332
363	0.9407234748	0.1958710102
364	0.9407778618	0.1953360463
365	0.9408322551	0.1948428329
366	0.9423447154	0.1944230714
367	0.9423991365	0.1939498308
368	0.9431104598	0.1933928298
369	0.9446501179	0.1929625631
370	0.9454567216	0.1922755187
371	0.946120797	0.1918572301
372	0.9469038036	0.1914399564
373	0.9476205254	0.1911094919
374	0.9477077214	0.1899055507
375	0.9477731289	0.1894530664
376	0.9485107634	0.1890843265
377	0.9479257817	0.1884701964
378	0.9479475932	0.1881190151
379	0.9486743486	0.187538352
380	0.9494656549	0.1871202294
381	0.949531123	0.1867355942
382	0.9495966001	0.1863008029
383	0.9503543145	0.1856589663
384	0.9497603323	0.1851603546
385	0.9498476793	0.1847434855
386	0.9512967792	0.184177328
387	0.9519872025	0.1838695946
388	0.9520636704	0.1834197495
389	0.9521729315	0.1827940813
390	0.9535947958	0.1823320096
391	0.954348101	0.1818212767
392	0.9550786522	0.181277762
393	0.95510052	0.1809593479
394	0.9551661296	0.1806000987
395	0.9558958018	0.1802260651
396	0.9566355225	0.1796637436
397	0.9567011625	0.1791892603
398	0.9574618947	0.1787677942
399	0.9574618947	0.1783966414
400	0.9575056693	0.1780241049
401	0.9576151233	0.1773671898
402	0.9576151233	0.1769422115
403	0.9577136534	0.1766189667
404	0.9577136534	0.1761955537
405	0.9584735648	0.1757605092
406	0.9591778368	0.1754870641
407	0.9591997421	0.1751549797
408	0.9593202392	0.1746999197
409	0.9594298083	0.1742234558
410	0.9601222564	0.1738531711
411	0.9601989756	0.173424087
412	0.9588789338	0.1729570248
413	0.9596819121	0.1723786257
414	0.9603963098	0.1718775649
415	0.960462106	0.171493227
416	0.960560817	0.1704745278
417	0.9599780293	0.1701082217
418	0.9608460964	0.1694651997
419	0.960868048	0.1691508867
420	0.960868048	0.1688742118
421	0.9608900006	0.1684348949
422	0.9616584643	0.1679194392
423	0.9623601764	0.1675832834
424	0.9630719837	0.1673020517
425	0.9631488604	0.1669574028
426	0.9639257065	0.1665446971
427	0.9639806399	0.1660593596
428	0.9647566436	0.1656034076
429	0.9654878231	0.165201957
430	0.9655317926	0.164834275
431	0.9655317926	0.1644892385
432	0.9655537788	0.1641595391
433	0.966947569	0.1636593596
434	0.966914584	0.1631389987
435	0.9669255788	0.1626437392
436	0.967599165	0.1622314165
437	0.9669695603	0.1618551207
438	0.9676651416	0.1615713793
439	0.9676651416	0.161162029
440	0.9677091311	0.1607957023
441	0.9677311273	0.1603516937
442	0.9677861222	0.160006822
443	0.967874127	0.1596018922
444	0.9678961308	0.1592906443
445	0.9680391793	0.1590064401
446	0.9680501848	0.1585038554
447	0.9681272302	0.1580797496
448	0.9695268602	0.1577959945
449	0.9689320732	0.1573434307
450	0.9696039331	0.1569696382
451	0.969636968	0.1565785098
452	0.9702749179	0.1562663535
453	0.9703520062	0.155949134
454	0.9703409928	0.1556260928
455	0.9703189668	0.1552235406
456	0.9703520062	0.1548085968
457	0.9704511376	0.1544432041
458	0.970440122	0.1541444642
459	0.9704841859	0.1536999825
460	0.9705833444	0.15335902
461	0.9706274213	0.1530047014
462	0.9706715023	0.1527143187
463	0.9713526507	0.1522755097
464	0.971385716	0.1519971255
465	0.9714849256	0.1516412539
466	0.9716172366	0.150778026
467	0.9716172366	0.150499907
468	0.9716834057	0.1501016054
469	0.9718268028	0.1495928186
470	0.9718599004	0.1492146202
471	0.9717826761	0.1489588359
472	0.971771645	0.1484980252
473	0.9718488676	0.148106936
474	0.9719371371	0.1477600441
475	0.9713221615	0.1473279432
476	0.9722020416	0.146980629
477	0.9729154953	0.1466818808
478	0.9723235045	0.1464171694
479	0.9730922011	0.1461103652
480	0.9731363876	0.1458206172
481	0.973180578	0.1454842075
482	0.9732137235	0.145159274
483	0.9733905377	0.1448575395
484	0.973412644	0.1446272064
485	0.9735121347	0.1443176998
486	0.9736116457	0.1438488769
487	0.9736779977	0.1435061462
488	0.9737222374	0.1431688493
489	0.9738217914	0.1427510633
490	0.9745234314	0.1424245106
491	0.9752574016	0.1419936252
492	0.9753238003	0.1417364545
493	0.975357003	0.1414240554
494	0.9754234153	0.1412000894
495	0.9755009078	0.1409738129
496	0.9762783581	0.1405220371
497	0.9763780351	0.1398065667
498	0.9778196748	0.1395036522
499	0.9777975162	0.1392566341
500	0.9771768349	0.138813435
501	0.9773098096	0.1383975928
502	0.9773430589	0.1381597516
503	0.9773098096	0.1378077936
504	0.9774095644	0.1374244346
505	0.9774206495	0.1371460011
506	0.9775093395	0.1368440726
507	0.9788717587	0.1365227736
508	0.9789826578	0.1361435937
509	0.9783850584	0.1357417961
510	0.9784294299	0.1354012025
511	0.9785514722	0.1350872168
512	0.9785958587	0.1347995581
513	0.979282211	0.1344349252
514	0.9786846439	0.1341345251
515	0.9787290425	0.1338893293
516	0.9794043037	0.133604355
517	0.9794487086	0.1333608658
518	0.9795486344	0.1330650639
519	0.9802563551	0.1327235147
520	0.9802896721	0.1324441772
521	0.9803229914	0.132204968
522	0.9804007452	0.1319474099
523	0.9798374234	0.1316076229
524	0.9805896273	0.1312147707
525	0.9806007403	0.1308651606
526	0.9806340807	0.1305999683
527	0.9806896532	0.1303187792
528	0.9807563484	0.1299864898
529	0.9808119347	0.1297047885
530	0.9808675273	0.1294886524
531	0.980834171	0.1291764835
532	0.9809564886	0.1288750894
533	0.9810120976	0.1286229893
534	0.981034343	0.1283784843
535	0.9810232202	0.1281645827
536	0.9810232202	0.1279086428
537	0.9809676099	0.1276092826
538	0.9809787314	0.1269676468
539	0.9810677129	0.1265330847
540	0.9810677129	0.1262542884
541	0.9810899608	0.1259690494
542	0.9812234693	0.1256914505
543	0.9813792751	0.1253647389
544	0.9814126685	0.124955393
545	0.9814683293	0.1246039605
546	0.9815017287	0.124349696
547	0.9816130767	0.1240322204
548	0.9816687602	0.1238148375
549	0.9824092054	0.1235719877
