model,full_precision,full_recall,full_f1,full_pr_auc,reduced_precision,reduced_recall,reduced_f1,reduced_pr_auc,delta_f1
Random Forest,0.9649122807017544,0.9375,0.9510086455331412,0.9769731898177996,0.8169014084507042,0.32954545454545453,0.46963562753036436,0.5086575053682642,-0.4813730180027769
Extra Trees,0.9647058823529412,0.9318181818181818,0.9479768786127167,0.97949967337455,0.6176470588235294,0.35795454545454547,0.45323741007194246,0.46108518977328433,-0.4947394685407743
HistGradientBoosting,0.9759036144578314,0.9204545454545454,0.9473684210526315,0.9751524330497,0.7037037037037037,0.32386363636363635,0.44357976653696496,0.4505170677586998,-0.5037886545156666
XGBoost,0.99375,0.9034090909090909,0.9464285714285714,0.9785803593646599,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.550646984380337,-0.400974025974026
CatBoost,0.9534883720930233,0.9318181818181818,0.9425287356321839,0.9782884326724186,0.7926829268292683,0.3693181818181818,0.5038759689922481,0.5346259383656053,-0.4386527666399358
LightGBM,0.9640718562874252,0.9147727272727273,0.9387755102040817,0.9790916854487497,0.9285714285714286,0.4431818181818182,0.6,0.591591077584656,-0.3387755102040817
Logistic Regression,0.9578313253012049,0.9034090909090909,0.9298245614035088,0.9732345867015214,0.6881720430107527,0.36363636363636365,0.4758364312267658,0.45885187076906736,-0.453988130176743
