model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
LightGBM,test,balanced_f1,0.8215258342101207,0.9285714285714286,0.4431818181818182,0.6,0.591591077584656,0.87396855595385,9276,6,98,78,6,98,84,0.00888137026855572,0.98,0.2784090909090909,49,0.85,0.48295454545454547,85,0.48,0.5454545454545454,96
XGBoost,test,balanced_f1,0.8675069808959961,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.550646984380337,0.8724486298015709,9266,16,104,72,16,104,88,0.009304292662296468,0.98,0.2784090909090909,49,0.74,0.42045454545454547,74,0.455,0.5170454545454546,91
CatBoost,test,balanced_f1,0.8249890644484875,0.7926829268292683,0.3693181818181818,0.5038759689922481,0.5346259383656053,0.8652450490685785,9265,17,111,65,17,111,82,0.008669909071685345,0.98,0.2784090909090909,49,0.7,0.3977272727272727,70,0.45,0.5113636363636364,90
Logistic Regression,test,balanced_f1,0.9203602112106986,0.6881720430107527,0.36363636363636365,0.4758364312267658,0.45885187076906736,0.8290000440735735,9253,29,112,64,29,112,93,0.009832945654472404,1.0,0.2840909090909091,50,0.66,0.375,66,0.39,0.4431818181818182,78
Random Forest,test,balanced_f1,0.2693435803124211,0.8169014084507042,0.32954545454545453,0.46963562753036436,0.5086575053682642,0.8788160369042722,9269,13,118,58,13,118,71,0.007506872488898287,0.96,0.2727272727272727,48,0.67,0.3806818181818182,67,0.415,0.4715909090909091,83
Extra Trees,test,balanced_f1,0.3091157170319121,0.6176470588235294,0.35795454545454547,0.45323741007194246,0.46108518977328433,0.8481013471822296,9243,39,113,63,39,113,102,0.010784521040389088,0.9,0.2556818181818182,45,0.63,0.35795454545454547,63,0.415,0.4715909090909091,83
HistGradientBoosting,test,balanced_f1,0.8620860647500261,0.7037037037037037,0.32386363636363635,0.44357976653696496,0.4505170677586998,0.8533014167205344,9258,24,119,57,24,119,81,0.008564178473250158,0.78,0.2215909090909091,39,0.62,0.3522727272727273,62,0.395,0.44886363636363635,79
