model,split_method,test_loss,accuracy,precision,recall,f1,auc,precision@5,recall@5,f1@5,ndcg@5
FM (User + Item),temporal,0.6127475536789954,0.6383383180412633,0.4575085540489165,0.4575201500481573,0.45751435197505985,0.6396330365269884,0.056807301017354886,0.09720991904564616,0.06879897503313388,0.08237894919856355
FM (User + Item + Meal + Day + Weekend + Hour + Restaurant + Category),temporal,0.13433900724775244,0.9653774015308968,0.9480661022963451,0.9480661022963451,0.9480661022963451,0.9872099940278479,0.18390185517654103,0.3155452601873158,0.2229277260514233,0.25807653901082095
