model,random_precision@5,temporal_precision@5,delta_precision@5,random_recall@5,temporal_recall@5,delta_recall@5,random_f1@5,temporal_f1@5,delta_f1@5,random_ndcg@5,temporal_ndcg@5,delta_ndcg@5,random_classification_auc,temporal_classification_auc,delta_classification_auc,random_classification_f1,temporal_classification_f1,delta_classification_f1,comparability_caveat
Popularity Baseline,0.059025787965616,0.0494517250601765,-0.009574062905439502,0.1017741606892427,0.0877938296733429,-0.013980331015899794,0.0747176859131448,0.0632669864669326,-0.0114506994462122,0.0994162253745917,0.0811271152326297,-0.018289110141961995,,,,,,,
SVD,0.2040375097681687,0.1355442631719711,-0.0684932465961976,0.3736312770468801,0.3007117896961437,-0.07291948735073639,0.2639394652443083,0.1868616272187778,-0.07707783802553048,0.3284999533850414,0.2431878104573016,-0.08531214292773981,,,,,,,
ALS,0.1967960406355822,0.1274137469911741,-0.0693822936444081,0.3677373876449156,0.2882396491951186,-0.07949773844979702,0.2563860995888937,0.1767130694580512,-0.07967303013084248,0.3141862551825449,0.2283756511366744,-0.08581060404587049,,,,,,,
FM (user+item),0.0249420907120974,0.0568073010173548,0.03186521030525741,0.0960098632593589,0.0972099190456461,0.0012000557862872074,0.0395973217470488,0.0687989750331338,0.029201653286084997,0.0624961570785421,0.0823789491985635,0.019882792120021406,0.6383044345205406,0.6396330365269884,0.0013286020064477988,0.4574523098138359,0.4575143519750598,6.204216122390749e-05,"FM ranking task differs from SVD/ALS; compare directionally, not as a strict same-task benchmark."
FM (full context),0.1067249495628782,0.183901855176541,0.0771769056136628,0.411845874118907,0.3155452601873158,-0.09630061393159117,0.1695206445705933,0.2229277260514233,0.05340708148083001,0.2662726174084077,0.2580765390108209,-0.008196078397586792,0.9702114933941224,0.987209994027848,0.016998500633725655,0.8752011031946679,0.9480661022963452,0.07286499910167732,"FM ranking task differs from SVD/ALS; compare directionally, not as a strict same-task benchmark."
