canonical_cluster,segment_name,feature,mean,std,min,max,coefficient_of_variation,canonical_value
0,High-Value Inactive Large-Basket,avg_basket_size,3.432203098876444,0.0011930521020039099,3.428331851055121,3.432849767586462,0.0003476053332608621,3.432816931286993
0,High-Value Inactive Large-Basket,avg_discount_pct,1.5201167268152107,0.0016219449593316323,1.5167096927462782,1.5264692283085313,0.0010669871140289084,1.5204180294033596
0,High-Value Inactive Large-Basket,avg_frequency,3.7349509830564216,0.0048187272585598195,3.730112249877989,3.756050338818974,0.0012901714856285776,3.732518337408313
0,High-Value Inactive Large-Basket,avg_monetary,153.55508716199074,0.10920281928320257,153.38143484626647,153.8976911907067,0.0007111637999202241,153.53352567237164
0,High-Value Inactive Large-Basket,avg_order_value,41.248275491158765,0.03053309643515373,41.15293087996785,41.264631603829706,0.0007402272233586651,41.264631603829706
0,High-Value Inactive Large-Basket,avg_recency,492.3888122302332,0.4036595032353814,490.96127783155856,492.61711491442543,0.0008197982838136392,492.61711491442543
0,High-Value Inactive Large-Basket,avg_visit_gap,0.04739585836311741,0.00013680482344213796,0.047133138969873666,0.047918683446272994,0.0028864299153319476,0.04743276283618582
0,High-Value Inactive Large-Basket,weekend_order_rate,0.3553763129041085,0.00017796639641905887,0.3550256877212576,0.35566903092784247,0.0005007829446052014,0.3554382263941126
1,High-Value Frequent Discount-Sensitive,avg_basket_size,2.8584757702408257,0.0006424953024926465,2.856362092766737,2.8588256133096266,0.00022476849696666013,2.858762665406059
1,High-Value Frequent Discount-Sensitive,avg_discount_pct,1.7528718632363565,0.001256814418233435,1.7501126380668794,1.755746117792448,0.0007170030192126866,1.7523627854633494
1,High-Value Frequent Discount-Sensitive,avg_frequency,14.921326620783569,0.006423387438824854,14.904811174340404,14.93964620187305,0.00043048366958725154,14.924714434060228
1,High-Value Frequent Discount-Sensitive,avg_monetary,414.96489312215573,0.20784071608744106,414.144578375582,415.0995119418484,0.0005008633731004751,415.0995119418484
1,High-Value Frequent Discount-Sensitive,avg_order_value,27.762239803195847,0.012715149828152294,27.72548263572353,27.770455730568326,0.0004580015848248883,27.767472627904482
1,High-Value Frequent Discount-Sensitive,avg_recency,77.81652510103983,0.1974606218417255,76.97606659729449,78.27875647668394,0.002537515284643402,77.79439252336448
1,High-Value Frequent Discount-Sensitive,avg_visit_gap,2.3625210209866983,0.003127668825636925,2.356476683937824,2.371488033298647,0.0013238692049100437,2.3624091381100727
1,High-Value Frequent Discount-Sensitive,weekend_order_rate,0.3385428968719433,6.991344251906609e-05,0.33831868151260286,0.33865460884615006,0.00020651280285319777,0.3385223710671358
2,Low-Value Frequent Weekend-Oriented,avg_basket_size,2.815794088951504,0.00039661251992136813,2.8154556611507444,2.816429750377318,0.00014085281359087296,2.8154556611507444
2,Low-Value Frequent Weekend-Oriented,avg_discount_pct,1.5418966180486533,0.0010321946631533293,1.5401297298749907,1.5431981141469437,0.0006694318225171431,1.5421518632882725
2,Low-Value Frequent Weekend-Oriented,avg_frequency,5.390633698732052,0.0009915386457759966,5.389830508474576,5.392168322618351,0.00018393730703854345,5.389830508474576
2,Low-Value Frequent Weekend-Oriented,avg_monetary,79.79717242137879,0.02266721863357659,79.77527177089421,79.83608416130917,0.0002840604240195323,79.77527177089421
2,Low-Value Frequent Weekend-Oriented,avg_order_value,14.389478747739599,0.002486339849322337,14.387011022302305,14.393727367519528,0.0001727887363336847,14.387011022302305
2,Low-Value Frequent Weekend-Oriented,avg_recency,363.6017283653995,0.10549189477858174,363.42022209234364,363.7054354178843,0.00029013034468463325,363.7054354178843
2,Low-Value Frequent Weekend-Oriented,avg_visit_gap,1.0712617359464671,0.00040049983611626196,1.0706775700934579,1.0719298245614035,0.00037385806164580085,1.071303331385155
2,Low-Value Frequent Weekend-Oriented,weekend_order_rate,0.34177677067775775,9.546231637804755e-05,0.341707243569847,0.3419119693907864,0.00027931189176122695,0.3417121377312944
3,Mid-Value Occasional Discount-Sensitive,avg_basket_size,2.8313404189335984,0.0008845532782126284,2.8299661503660634,2.8336063321721237,0.00031241502162632505,2.83073005969999
3,Mid-Value Occasional Discount-Sensitive,avg_discount_pct,1.6603234543416079,0.0010498340871072961,1.6586610848884658,1.661953136433633,0.0006323069666709021,1.6594793917514437
3,Mid-Value Occasional Discount-Sensitive,avg_frequency,4.456421588280293,0.009417422546088005,4.436635944700461,4.463793103448276,0.0021132252322927404,4.452613440551407
3,Mid-Value Occasional Discount-Sensitive,avg_monetary,96.18668986347396,0.17864301051981657,95.78459101382488,96.35158620689656,0.0018572529190200844,96.07582423894314
3,Mid-Value Occasional Discount-Sensitive,avg_order_value,21.820366442835947,0.006495739129155416,21.807772771851322,21.835211584920593,0.0002976915693039653,21.815258568963245
3,Mid-Value Occasional Discount-Sensitive,avg_recency,408.62477113378293,0.39379413813170827,408.2557471264368,409.4815668202765,0.0009637059863969453,408.6513497989661
3,Mid-Value Occasional Discount-Sensitive,avg_visit_gap,0.364421238367785,0.0026245346155031363,0.3592400690846287,0.3665132336018412,0.0072019255169051815,0.3641585295807008
3,Mid-Value Occasional Discount-Sensitive,weekend_order_rate,0.28974034645844593,0.00024020073715678652,0.2893307815916683,0.29030676058384236,0.0008290206734850982,0.29030676058384236
4,Low-Value Inactive Standard,avg_basket_size,2.2350940615269663,0.0016569035862396904,2.231640126349791,2.2362434095296218,0.0007413126878014838,2.2361368450100025
